Category,PSA02,Name,Display Name,Brand,Custom,Hidden,Specs,Downloads,Features,Images
Turnstiles,et-1200,ET-1200,ET-1200,eSSL,no,no,0,0,0,0
Turnstiles,ET-1219,ET-1219,ET-1219,eSSL,no,no,0,0,0,0
Turnstiles,HHT-TL-139,HHT-TL-139,HHT-TL-139,eSSL,no,no,0,0,0,0
Turnstiles,FHT-TL-537,FHT-TL-537,FHT-TL-537,eSSL,no,no,0,0,0,0
Flap Barriers,Saturn-F1000,Saturn-F1000,Saturn-F1000,ZKTeco,no,no,0,0,0,0
Flap Barriers,FBL200,FBL 200,FBL 200,ZKTeco,no,no,0,0,0,0
Flap Barriers,FBL500,FBL 500,FBL 500,ZKTeco,no,no,0,0,0,0
Swing Barriers,Saturn S1000,Saturn S1000 & S1200,Saturn S1000 & S1200,ZKTeco,no,no,0,0,0,0
Swing Barriers,SBTL3000,SBTL 3000,SBTL 3000,ZKTeco,no,no,0,0,0,0
Swing Barriers,SBTL500,SBTL 500,SBTL 500,ZKTeco,no,no,0,0,0,0
Turnstiles,mTS1000,m TS 1000,m TS 1000,ZKTeco,no,no,0,0,0,0
Turnstiles,TS1000,TS 1000,TS 1000,ZKTeco,no,no,0,0,0,0
Turnstiles,TS200_Pro,TS 200 Pro,TS 200 Pro,ZKTeco,no,no,0,0,0,0
Turnstiles,Saturn-T1000,Saturn T 1000,Saturn T 1000,ZKTeco,no,no,0,0,0,0
